player_name,bookmaker,line,predicted_rebounds,p_over_model,p_under_model,p_over_market_novig,p_under_market_novig,edge_over,edge_under,best_side,best_edge,calibration_bin,calibration_count
Paul George,FanDuel,5.5,4.000490621598214,0.3388581952117864,0.6611418047882136,0.563470066518847,0.43652993348115304,-0.22461187130706062,0.22461187130706056,under,0.22461187130706056,"(-3.0, -1.0]",543
Devin Carter,Bovada,3.5,2.9262903885477303,0.40591668343731135,0.5940833165626886,0.625,0.375,-0.21908331656268865,0.21908331656268865,under,0.21908331656268865,"(-1.0, 0.0]",4969
Matas Buzelis,Bovada,5.5,5.879762935193751,0.47469458987783597,0.525305410122164,0.6920583468395461,0.3079416531604538,-0.21736375696171018,0.21736375696171023,under,0.21736375696171023,"(0.0, 1.0]",6876
Oso Ighodaro,Bovada,5.5,6.330264534756607,0.47469458987783597,0.525305410122164,0.6875,0.3125,-0.21280541012216403,0.21280541012216403,under,0.21280541012216403,"(0.0, 1.0]",6876
Isaiah Hartenstein,DraftKings,7.5,5.557830117892916,0.3388581952117864,0.6611418047882136,0.5503663681444749,0.4496336318555252,-0.21150817293268853,0.21150817293268842,under,0.21150817293268842,"(-3.0, -1.0]",543
Leonard Miller,BetMGM,7.5,5.345209109717773,0.3388581952117864,0.6611418047882136,0.5346534653465347,0.4653465346534653,-0.1957952701347483,0.1957952701347483,under,0.1957952701347483,"(-3.0, -1.0]",543
Leonard Miller,FanDuel,7.5,5.345209109717773,0.3388581952117864,0.6611418047882136,0.5289256198347108,0.4710743801652893,-0.19006742462292436,0.1900674246229243,under,0.1900674246229243,"(-3.0, -1.0]",543
Joel Embiid,FanDuel,7.5,6.273700225913427,0.3388581952117864,0.6611418047882136,0.5281576830249397,0.4718423169750604,-0.1892994878131533,0.1892994878131532,under,0.1892994878131532,"(-3.0, -1.0]",543
Leonard Miller,DraftKings,7.5,5.345209109717773,0.3388581952117864,0.6611418047882136,0.5273190869354056,0.47268091306459453,-0.18846089172361924,0.18846089172361907,under,0.18846089172361907,"(-3.0, -1.0]",543
Leonard Miller,BetOnline.ag,7.5,5.345209109717773,0.3388581952117864,0.6611418047882136,0.519675254742772,0.480324745257228,-0.1808170595309856,0.1808170595309856,under,0.1808170595309856,"(-3.0, -1.0]",543
Patrick Williams,BetMGM,3.5,2.936474389644956,0.40591668343731135,0.5940833165626886,0.5834970530451867,0.4165029469548134,-0.17758036960787538,0.17758036960787527,under,0.17758036960787527,"(-1.0, 0.0]",4969
Dominick Barlow,DraftKings,2.5,4.489955691138633,0.5967894239848914,0.40321057601510857,0.4204398447606727,0.5795601552393274,0.17634957922421873,-0.1763495792242188,over,0.17634957922421873,"(1.0, 3.0]",1059
Patrick Williams,FanDuel,3.5,2.936474389644956,0.40591668343731135,0.5940833165626886,0.5795601552393274,0.4204398447606727,-0.173643471802016,0.17364347180201595,under,0.17364347180201595,"(-1.0, 0.0]",4969
Joel Embiid,DraftKings,7.5,6.273700225913427,0.3388581952117864,0.6611418047882136,0.5101214574898786,0.48987854251012153,-0.1712632622780922,0.17126326227809208,under,0.17126326227809208,"(-3.0, -1.0]",543
Taylor Hendricks,Bovada,4.5,4.240360858488856,0.40591668343731135,0.5940833165626886,0.5751633986928104,0.4248366013071895,-0.16924671525549906,0.16924671525549917,under,0.16924671525549917,"(-1.0, 0.0]",4969
Ryan Kalkbrenner,FanDuel,3.5,5.40677954168023,0.5967894239848914,0.40321057601510857,0.4282584157758449,0.571741584224155,0.16853100820904654,-0.16853100820904643,over,0.16853100820904654,"(1.0, 3.0]",1059
Oso Ighodaro,FanDuel,6.5,6.330264534756607,0.40591668343731135,0.5940833165626886,0.5715249662618084,0.42847503373819157,-0.16560828282449702,0.16560828282449708,under,0.16560828282449708,"(-1.0, 0.0]",4969
Josh Giddey,BetMGM,9.5,7.007277433779547,0.3388581952117864,0.6611418047882136,0.5,0.5,-0.1611418047882136,0.1611418047882136,under,0.1611418047882136,"(-3.0, -1.0]",543
Patrick Williams,BetOnline.ag,3.5,2.936474389644956,0.40591668343731135,0.5940833165626886,0.5668912415784408,0.43310875842155927,-0.1609745581411295,0.16097455814112938,under,0.16097455814112938,"(-1.0, 0.0]",4969
Taylor Hendricks,BetRivers,4.5,4.240360858488856,0.40591668343731135,0.5940833165626886,0.5665958379709265,0.43340416202907345,-0.16067915453361514,0.1606791545336152,under,0.1606791545336152,"(-1.0, 0.0]",4969
Matas Buzelis,Bovada,6.5,5.879762935193751,0.40591668343731135,0.5940833165626886,0.5633187772925764,0.43668122270742354,-0.15740209385526505,0.1574020938552651,under,0.1574020938552651,"(-1.0, 0.0]",4969
Josh Giddey,FanDuel,9.5,7.007277433779547,0.3388581952117864,0.6611418047882136,0.4958445875753168,0.5041554124246831,-0.1569863923635304,0.1569863923635305,under,0.1569863923635305,"(-3.0, -1.0]",543
Patrick Williams,DraftKings,3.5,2.936474389644956,0.40591668343731135,0.5940833165626886,0.5621716287215411,0.43782837127845886,-0.15625494528422978,0.15625494528422978,under,0.15625494528422978,"(-1.0, 0.0]",4969
Oso Ighodaro,BetRivers,6.5,6.330264534756607,0.40591668343731135,0.5940833165626886,0.5588235294117647,0.4411764705882353,-0.15290684597445336,0.15290684597445336,under,0.15290684597445336,"(-1.0, 0.0]",4969
Coby White,DraftKings,3.5,2.9179796023124474,0.40591668343731135,0.5940833165626886,0.558797046641455,0.4412029533585449,-0.15288036320414367,0.15288036320414372,under,0.15288036320414372,"(-1.0, 0.0]",4969
Josh Giddey,BetRivers,9.5,7.007277433779547,0.3388581952117864,0.6611418047882136,0.4901435104873048,0.5098564895126951,-0.15128531527551842,0.15128531527551847,under,0.15128531527551847,"(-3.0, -1.0]",543
Mouhamed Gueye,BetMGM,5.5,3.8166848740793635,0.3388581952117864,0.6611418047882136,0.48987854251012153,0.5101214574898786,-0.15102034729833513,0.15102034729833502,under,0.15102034729833502,"(-3.0, -1.0]",543
Royce O'Neale,Bovada,3.5,4.091155434328691,0.47469458987783597,0.525305410122164,0.625,0.375,-0.15030541012216403,0.15030541012216403,under,0.15030541012216403,"(0.0, 1.0]",6876
Taylor Hendricks,BetOnline.ag,4.5,4.240360858488856,0.40591668343731135,0.5940833165626886,0.5553135493238951,0.4446864506761049,-0.14939686588658374,0.14939686588658374,under,0.14939686588658374,"(-1.0, 0.0]",4969
Oso Ighodaro,DraftKings,6.5,6.330264534756607,0.40591668343731135,0.5940833165626886,0.5548317046688382,0.4451682953311618,-0.1489150212315269,0.14891502123152683,under,0.14891502123152683,"(-1.0, 0.0]",4969
Taylor Hendricks,FanDuel,4.5,4.240360858488856,0.40591668343731135,0.5940833165626886,0.5543606364172068,0.4456393635827931,-0.14844395297989543,0.14844395297989554,under,0.14844395297989554,"(-1.0, 0.0]",4969
Oso Ighodaro,Bovada,6.5,6.330264534756607,0.40591668343731135,0.5940833165626886,0.554140127388535,0.4458598726114649,-0.14822344395122367,0.14822344395122372,under,0.14822344395122372,"(-1.0, 0.0]",4969
Josh Giddey,BetOnline.ag,9.5,7.007277433779547,0.3388581952117864,0.6611418047882136,0.483560743054414,0.5164392569455861,-0.1447025478426276,0.14470254784262748,under,0.14470254784262748,"(-3.0, -1.0]",543
Oso Ighodaro,BetOnline.ag,6.5,6.330264534756607,0.40591668343731135,0.5940833165626886,0.548925656958898,0.45107434304110205,-0.1430089735215866,0.1430089735215866,under,0.1430089735215866,"(-1.0, 0.0]",4969
Mouhamed Gueye,FanDuel,5.5,3.8166848740793635,0.3388581952117864,0.6611418047882136,0.48124062031015497,0.5187593796898449,-0.14238242509836857,0.14238242509836874,under,0.14238242509836874,"(-3.0, -1.0]",543
Nickeil Alexander-Walker,BetRivers,3.5,3.3827875182071296,0.40591668343731135,0.5940833165626886,0.5479742549946055,0.4520257450053946,-0.14205757155729415,0.14205757155729404,under,0.14205757155729404,"(-1.0, 0.0]",4969
Devin Carter,BetMGM,4.5,2.9262903885477303,0.3388581952117864,0.6611418047882136,0.4796954314720812,0.5203045685279188,-0.14083723626029482,0.14083723626029476,under,0.14083723626029476,"(-3.0, -1.0]",543
Josh Giddey,DraftKings,9.5,7.007277433779547,0.3388581952117864,0.6611418047882136,0.4796954314720812,0.5203045685279188,-0.14083723626029482,0.14083723626029476,under,0.14083723626029476,"(-3.0, -1.0]",543
Josh Giddey,Bovada,9.5,7.007277433779547,0.3388581952117864,0.6611418047882136,0.4796954314720812,0.5203045685279188,-0.14083723626029482,0.14083723626029476,under,0.14083723626029476,"(-3.0, -1.0]",543
Matas Buzelis,FanDuel,6.5,5.879762935193751,0.40591668343731135,0.5940833165626886,0.5467012037178121,0.45329879628218805,-0.1407845202805007,0.1407845202805006,under,0.1407845202805006,"(-1.0, 0.0]",4969
Isaiah Hartenstein,FanDuel,8.5,5.557830117892916,0.3388581952117864,0.6611418047882136,0.47591522157996147,0.5240847784200385,-0.13705702636817507,0.13705702636817507,under,0.13705702636817507,"(-3.0, -1.0]",543
Jalen Johnson,FanDuel,10.5,10.180561720763558,0.40591668343731135,0.5940833165626886,0.5427774333539988,0.45722256664600125,-0.1368607499166874,0.1368607499166874,under,0.1368607499166874,"(-1.0, 0.0]",4969
Nickeil Alexander-Walker,FanDuel,3.5,3.3827875182071296,0.40591668343731135,0.5940833165626886,0.5371848068943506,0.46281519310564956,-0.1312681234570392,0.1312681234570391,under,0.1312681234570391,"(-1.0, 0.0]",4969
Isaac Okoro,Bovada,2.5,2.8640566014001982,0.47469458987783597,0.525305410122164,0.6017069701280228,0.3982930298719772,-0.1270123802501868,0.12701238025018685,under,0.12701238025018685,"(0.0, 1.0]",6876
Karl-Anthony Towns,DraftKings,10.5,12.245213481691598,0.5967894239848914,0.40321057601510857,0.46979581974145224,0.5302041802585478,0.1269936042434392,-0.1269936042434392,over,0.1269936042434392,"(1.0, 3.0]",1059
Rob Dillingham,FanDuel,2.5,2.747937078432519,0.47469458987783597,0.525305410122164,0.5997896704837579,0.4002103295162421,-0.1250950806059219,0.12509508060592195,under,0.12509508060592195,"(0.0, 1.0]",6876
Devin Carter,DraftKings,4.5,2.9262903885477303,0.3388581952117864,0.6611418047882136,0.46366014107949594,0.5363398589205041,-0.12480194586770954,0.12480194586770954,under,0.12480194586770954,"(-3.0, -1.0]",543
Mouhamed Gueye,BetOnline.ag,5.5,3.8166848740793635,0.3388581952117864,0.6611418047882136,0.46322988528598974,0.5367701147140101,-0.12437169007420334,0.12437169007420346,under,0.12437169007420346,"(-3.0, -1.0]",543
Devin Carter,BetOnline.ag,4.5,2.9262903885477303,0.3388581952117864,0.6611418047882136,0.46042319749216293,0.539576802507837,-0.12156500228037653,0.12156500228037659,under,0.12156500228037659,"(-3.0, -1.0]",543
Matas Buzelis,BetRivers,6.5,5.879762935193751,0.40591668343731135,0.5940833165626886,0.5274208712002507,0.4725791287997492,-0.12150418776293936,0.12150418776293942,under,0.12150418776293942,"(-1.0, 0.0]",4969
Devin Carter,Bovada,4.5,2.9262903885477303,0.3388581952117864,0.6611418047882136,0.4592085979482169,0.5407914020517831,-0.1203504027364305,0.1203504027364305,under,0.1203504027364305,"(-3.0, -1.0]",543
Oso Ighodaro,BetMGM,6.5,6.330264534756607,0.40591668343731135,0.5940833165626886,0.5246062992125985,0.4753937007874017,-0.11868961577528714,0.11868961577528697,under,0.11868961577528697,"(-1.0, 0.0]",4969
Jalen Johnson,Bovada,9.5,10.180561720763558,0.47469458987783597,0.525305410122164,0.5915279878971256,0.40847201210287437,-0.1168333980192896,0.11683339801928966,under,0.11683339801928966,"(0.0, 1.0]",6876
Precious Achiuwa,Bovada,7.5,8.363029721141203,0.47469458987783597,0.525305410122164,0.5915279878971256,0.40847201210287437,-0.1168333980192896,0.11683339801928966,under,0.11683339801928966,"(0.0, 1.0]",6876
Maxime Raynaud,Bovada,8.5,8.825488595114452,0.47469458987783597,0.525305410122164,0.5915279878971256,0.40847201210287437,-0.1168333980192896,0.11683339801928966,under,0.11683339801928966,"(0.0, 1.0]",6876
Matas Buzelis,BetMGM,7.5,5.879762935193751,0.3388581952117864,0.6611418047882136,0.4554079696394686,0.5445920303605313,-0.11654977442768222,0.11654977442768233,under,0.11654977442768233,"(-3.0, -1.0]",543
Nickeil Alexander-Walker,DraftKings,3.5,3.3827875182071296,0.40591668343731135,0.5940833165626886,0.5223540887660543,0.4776459112339457,-0.11643740532874292,0.11643740532874297,under,0.11643740532874297,"(-1.0, 0.0]",4969
Tobias Harris,FanDuel,2.5,4.498233077946851,0.5967894239848914,0.40321057601510857,0.4808467741935484,0.5191532258064516,0.11594264979134306,-0.11594264979134306,over,0.11594264979134306,"(1.0, 3.0]",1059
Rob Dillingham,DraftKings,2.5,2.747937078432519,0.47469458987783597,0.525305410122164,0.5904747459426665,0.40952525405733353,-0.1157801560648305,0.1157801560648305,under,0.1157801560648305,"(0.0, 1.0]",6876
Nickeil Alexander-Walker,Bovada,3.5,3.3827875182071296,0.40591668343731135,0.5940833165626886,0.5203045685279188,0.4796954314720812,-0.11438788509060749,0.11438788509060743,under,0.11438788509060743,"(-1.0, 0.0]",4969
Jalen Johnson,BetRivers,10.5,10.180561720763558,0.40591668343731135,0.5940833165626886,0.5186523207413807,0.4813476792586193,-0.11273563730406932,0.11273563730406932,under,0.11273563730406932,"(-1.0, 0.0]",4969
Duncan Robinson,DraftKings,2.5,2.7508708807113216,0.47469458987783597,0.525305410122164,0.3621495327102804,0.6378504672897196,0.11254505716755558,-0.11254505716755558,over,0.11254505716755558,"(0.0, 1.0]",6876
Devin Carter,FanDuel,4.5,2.9262903885477303,0.3388581952117864,0.6611418047882136,0.449438202247191,0.550561797752809,-0.1105800070354046,0.1105800070354046,under,0.1105800070354046,"(-3.0, -1.0]",543
Jordan Goodwin,Bovada,4.5,5.4829699420569895,0.47469458987783597,0.525305410122164,0.5834970530451867,0.4165029469548134,-0.10880246316735076,0.10880246316735065,under,0.10880246316735065,"(0.0, 1.0]",6876
Olivier-Maxence Prosper,Bovada,4.5,4.646937054252791,0.47469458987783597,0.525305410122164,0.5834970530451867,0.4165029469548134,-0.10880246316735076,0.10880246316735065,under,0.10880246316735065,"(0.0, 1.0]",6876
C.J. McCollum,Bovada,4.5,3.554796282083305,0.40591668343731135,0.5940833165626886,0.29739776951672864,0.7026022304832714,0.10851891392058272,-0.10851891392058277,over,0.10851891392058272,"(-1.0, 0.0]",4969
Tobias Harris,DraftKings,2.5,4.498233077946851,0.5967894239848914,0.40321057601510857,0.48987854251012153,0.5101214574898786,0.1069108814747699,-0.10691088147477001,over,0.1069108814747699,"(1.0, 3.0]",1059
Jalen Johnson,Bovada,8.5,10.180561720763558,0.5967894239848914,0.40321057601510857,0.7026022304832714,0.29739776951672864,-0.10581280649837999,0.10581280649837993,under,0.10581280649837993,"(1.0, 3.0]",1059
Maxime Raynaud,Bovada,7.5,8.825488595114452,0.5967894239848914,0.40321057601510857,0.7026022304832714,0.29739776951672864,-0.10581280649837999,0.10581280649837993,under,0.10581280649837993,"(1.0, 3.0]",1059
