player_name,bookmaker,line,predicted_points,P_over_model,P_over_market,edge_over,edge_under,best_side,best_edge
Rui Hachimura,FanDuel,8.5,10.050988435816945,0.6333406741273663,0.4939310568053083,0.13940961732205798,-0.13940961732205792,over,0.13940961732205798
Reed Sheppard,BetOnline.ag,14.5,12.002943872106293,0.3595932727060057,0.4969046636401156,-0.13731139093410988,0.13731139093410982,under,0.13731139093410982
Neemias Queta,BetOnline.ag,7.5,11.061956760460902,0.6557918989179431,0.519675254742772,0.1361166441751711,-0.1361166441751711,over,0.1361166441751711
Onyeka Okongwu,DraftKings,12.5,14.807262959791622,0.631323897403684,0.4979225527671597,0.1334013446365243,-0.1334013446365242,over,0.1334013446365243
Rui Hachimura,BetOnline.ag,8.5,10.050988435816945,0.6333406741273663,0.5,0.13334067412736628,-0.13334067412736628,over,0.13334067412736628
Chet Holmgren,BetOnline.ag,14.5,16.45297921912022,0.6278833864744435,0.4948402542722694,0.13304313220217412,-0.133043132202174,over,0.13304313220217412
Nickeil Alexander-Walker,FanDuel,18.5,21.146882107903952,0.6387488417394968,0.5060689431946916,0.1326798985448051,-0.13267989854480505,over,0.1326798985448051
Derrick White,BetOnline.ag,16.5,18.632874441746566,0.6023006532764652,0.47438944435338465,0.12791120892308055,-0.1279112089230805,over,0.12791120892308055
Neemias Queta,FanDuel,7.5,11.061956760460902,0.6557918989179431,0.5281576830249397,0.1276342158930034,-0.1276342158930035,over,0.1276342158930034
Cameron Johnson,FanDuel,10.5,12.50067150011959,0.6159829309695388,0.48987854251012153,0.1261043884594173,-0.1261043884594174,over,0.1261043884594173
Dyson Daniels,FanDuel,11.5,13.049286977258442,0.5936358003994139,0.4677419354838709,0.125893864915543,-0.12589386491554289,over,0.125893864915543
Isaiah Hartenstein,BetOnline.ag,6.5,7.448525278994485,0.5767445304133855,0.45374290433428893,0.12300162607909654,-0.1230016260790966,over,0.12300162607909654
Jrue Holiday,DraftKings,15.5,18.182238541958963,0.6094756255244936,0.48656469615543607,0.12291092936905756,-0.12291092936905745,over,0.12291092936905756
Tyler Herro,FanDuel,19.5,21.868312889977435,0.654290512018232,0.532258064516129,0.12203244750210296,-0.12203244750210285,over,0.12203244750210296
Chet Holmgren,FanDuel,14.5,16.45297921912022,0.6278833864744435,0.5060689431946916,0.12181444327975188,-0.12181444327975183,over,0.12181444327975188
Nickeil Alexander-Walker,DraftKings,18.5,21.146882107903952,0.6387488417394968,0.517591059602649,0.1211577821368478,-0.12115778213684769,over,0.1211577821368478
Andrew Nembhard,BetOnline.ag,14.5,16.9348407279684,0.6231908466108166,0.5030953363598845,0.12009551025093212,-0.12009551025093218,over,0.12009551025093212
Rui Hachimura,DraftKings,8.5,10.050988435816945,0.6333406741273663,0.5134353038445638,0.11990537028280246,-0.11990537028280235,over,0.11990537028280246
Andrew Nembhard,DraftKings,14.5,16.9348407279684,0.6231908466108166,0.5041554124246831,0.11903543418613349,-0.11903543418613338,over,0.11903543418613349
Shai Gilgeous-Alexander,FanDuel,29.5,31.096664586026655,0.5845691350387618,0.4677419354838709,0.11682719955489096,-0.11682719955489085,over,0.11682719955489096
Jalen Williams,DraftKings,12.5,14.890263601137544,0.6303258113648997,0.5145711906744379,0.11575462069046183,-0.11575462069046177,over,0.11575462069046183
Kyle Anderson,DraftKings,5.5,6.516932163214058,0.600342236949359,0.48542880932556204,0.11491342762379692,-0.11491342762379686,over,0.11491342762379692
Jalen Williams,BetOnline.ag,12.5,14.890263601137544,0.6303258113648997,0.5164392569455861,0.11388655441931361,-0.11388655441931372,over,0.11388655441931361
Derrick White,DraftKings,16.5,18.632874441746566,0.6023006532764652,0.48863730270225597,0.11366335057420923,-0.11366335057420918,over,0.11366335057420923
Bruce Brown,FanDuel,6.5,7.842438280857884,0.6314173468940535,0.5191532258064516,0.11226412108760186,-0.11226412108760186,over,0.11226412108760186
