event_id,commence_time,home_team,away_team,bookmaker,player_name,market_key,line,over_price,under_price,opponent_team,predicted_points,std_used,calibration_bin,p_over_model,p_under_model,p_over_market_novig,p_under_market_novig,edge_over,edge_under,best_side,best_edge,predicted_value,normalized_player_name,PLAYER_NAME,games_played_prior,min_last_5,min_last_10,season_avg_minutes_prior,prop_type,diff,calibration_bin_robust,calibration_count_robust,tail_flag,line_bucket,role_bucket,edge_bucket,predicted_rebounds,calibration_count,flags,confidence_flag
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,Bovada,Olivier-Maxence Prosper,player_points,12.5,-220,165,,12.902747233578015,4.0,"(0.0, 1.0]",0.4510060501270572,0.5489939498729428,0.6456256921373201,0.35437430786268,-0.19461964201026294,0.19461964201026283,under,0.19461964201026283,12.902747233578015,oliviermaxence prosper,Olivier-Maxence Prosper,46,25.423333333333332,26.264666666666663,18.06119565217391,points,0.40274723357801534,"(0.0, 1.0]",3645,False,10-14.5,24-32m,0.15-0.20,,,['EXTREME_EDGE'],EXTREME_EDGE
6ddf73112fefbe7dcb275c09ebdae6a6,2026-03-29 02:10:00+00:00,Phoenix Suns,Utah Jazz,Bovada,Royce O'Neale,player_points,7.5,-220,165,,8.027712078677792,5.755190893638736,"(0.0, 1.0]",0.4510060501270572,0.5489939498729428,0.6456256921373201,0.35437430786268,-0.19461964201026294,0.19461964201026283,under,0.19461964201026283,8.027712078677792,royce oneale,Royce O'Neale,68,27.705666666666666,26.677833333333332,29.084460784313727,points,0.5277120786777925,"(0.0, 1.0]",3645,False,<10,24-32m,0.15-0.20,,,['EXTREME_EDGE'],EXTREME_EDGE
6ddf73112fefbe7dcb275c09ebdae6a6,2026-03-29 02:10:00+00:00,Phoenix Suns,Utah Jazz,Bovada,Ace Bailey,player_points,16.5,-190,145,,15.92145147646742,8.916900308465442,"(-1.0, 0.0]",0.4219254743218632,0.5780745256781368,0.6161482461945731,0.3838517538054269,-0.19422277187270987,0.19422277187270987,under,0.19422277187270987,15.92145147646742,ace bailey,Ace Bailey,62,26.26,28.518333333333334,26.856344086021505,points,-0.5785485235325805,"(-1.0, 0.0]",3018,False,15-19.5,24-32m,0.15-0.20,,,['EXTREME_EDGE'],EXTREME_EDGE
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,BetMGM,Leonard Miller,player_rebounds,7.5,-135,100,,,,"(-3.0, -1.0]",0.3414991051638827,0.6585008948361173,0.5346534653465347,0.4653465346534653,-0.19315436018265197,0.19315436018265197,under,0.19315436018265197,5.345209109717773,leonard miller,Leonard Miller,34,28.19666666666667,25.214166666666664,11.39,rebounds,-2.154790890282227,"(-10.0, -1.0]",564,False,7-9.5,24-32m,0.15-0.20,5.345209109717773,543.0,['EXTREME_EDGE'],EXTREME_EDGE
d7a3bd092d17e72cfe007b92fc74dd1f,2026-03-28 23:40:00+00:00,Atlanta Hawks,Sacramento Kings,Bovada,Jock Landale,player_points,12.5,-150,115,,8.52736612885334,4.0,"(-5.0, -3.0]",0.37522648439467515,0.6247735156053249,0.5633187772925764,0.4366812227074235,-0.18809229289790125,0.18809229289790141,under,0.18809229289790141,8.52736612885334,jock landale,Jock Landale,64,17.092666666666666,16.675166666666666,22.009036458333338,points,-3.9726338711466607,"(-inf, -3.0]",335,False,10-14.5,12-24m,0.15-0.20,,,['EXTREME_EDGE'],EXTREME_EDGE
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,Bovada,Collin Sexton,player_points,16.5,-150,115,,14.220485021697144,9.262229153335012,"(-3.0, -1.0]",0.37522648439467515,0.6247735156053249,0.5633187772925764,0.4366812227074235,-0.18809229289790125,0.18809229289790141,under,0.18809229289790141,14.220485021697144,collin sexton,Collin Sexton,56,24.869999999999997,23.063,22.77154761904762,points,-2.2795149783028563,"(-3.0, -1.0]",2168,False,15-19.5,24-32m,0.15-0.20,,,['EXTREME_EDGE'],EXTREME_EDGE
6ddf73112fefbe7dcb275c09ebdae6a6,2026-03-29 02:10:00+00:00,Phoenix Suns,Utah Jazz,Bovada,Ace Bailey,player_points,17.5,-150,115,,15.92145147646742,8.916900308465442,"(-3.0, -1.0]",0.37522648439467515,0.6247735156053249,0.5633187772925764,0.4366812227074235,-0.18809229289790125,0.18809229289790141,under,0.18809229289790141,15.92145147646742,ace bailey,Ace Bailey,62,26.26,28.518333333333334,26.856344086021505,points,-1.5785485235325805,"(-3.0, -1.0]",2168,False,15-19.5,24-32m,0.15-0.20,,,['EXTREME_EDGE'],EXTREME_EDGE
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,FanDuel,Leonard Miller,player_rebounds,7.5,-128,100,,,,"(-3.0, -1.0]",0.3414991051638827,0.6585008948361173,0.5289256198347108,0.4710743801652893,-0.18742651467082805,0.187426514670828,under,0.187426514670828,5.345209109717773,leonard miller,Leonard Miller,34,28.19666666666667,25.214166666666664,11.39,rebounds,-2.154790890282227,"(-10.0, -1.0]",564,False,7-9.5,24-32m,0.15-0.20,5.345209109717773,543.0,['EXTREME_EDGE'],EXTREME_EDGE
d7a3bd092d17e72cfe007b92fc74dd1f,2026-03-28 23:40:00+00:00,Atlanta Hawks,Sacramento Kings,Bovada,Malik Monk,player_points,13.5,-185,140,,12.978211257915556,10.068653225619489,"(-1.0, 0.0]",0.4219254743218632,0.5780745256781368,0.6090534979423868,0.3909465020576131,-0.1871280236205236,0.18712802362052366,under,0.18712802362052366,12.978211257915556,malik monk,Malik Monk,55,23.43,20.865,21.9989696969697,points,-0.5217887420844445,"(-1.0, 0.0]",3018,False,10-14.5,12-24m,0.15-0.20,,,['EXTREME_EDGE'],EXTREME_EDGE
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,DraftKings,Leonard Miller,player_rebounds,7.5,-129,-102,,,,"(-3.0, -1.0]",0.3414991051638827,0.6585008948361173,0.5273190869354056,0.4726809130645945,-0.18581998177152292,0.1858199817715228,under,0.1858199817715228,5.345209109717773,leonard miller,Leonard Miller,34,28.19666666666667,25.214166666666664,11.39,rebounds,-2.154790890282227,"(-10.0, -1.0]",564,False,7-9.5,24-32m,0.15-0.20,5.345209109717773,543.0,['EXTREME_EDGE'],EXTREME_EDGE
