player_name,bookmaker,line,predicted_points,std_used,calibration_bin,p_over_model,p_under_model,p_over_market_novig,p_under_market_novig,edge_over,edge_under,best_side,best_edge
Pascal Siakam,DraftKings,20.5,24.667599544144657,5.537749241945389,"(3.0, 5.0]",0.6647646219686163,0.3352353780313837,0.5041554124246831,0.4958445875753168,0.1606092095439332,-0.1606092095439331,over,0.1606092095439332
Will Riley,FanDuel,16.5,14.94624544391941,6.1608080278122275,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.532258064516129,0.4677419354838709,-0.16002559219140577,0.16002559219140589,under,0.16002559219140589
Ayo Dosunmu,DraftKings,16.5,14.380769697816055,5.60654379572061,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.5259594617046021,0.47404053829539794,-0.15372698937987883,0.15372698937987883,under,0.15372698937987883
Tristan Vukcevic,FanDuel,12.5,9.617147301782557,6.268084945889686,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.5240847784200385,0.47591522157996147,-0.1518523060953153,0.1518523060953153,under,0.1518523060953153
Jalen Williams,DraftKings,12.5,15.77115238167616,7.184087354084095,"(3.0, 5.0]",0.6647646219686163,0.3352353780313837,0.5145711906744379,0.48542880932556204,0.1501934312941784,-0.15019343129417834,over,0.1501934312941784
Jalen Williams,BetOnline.ag,12.5,15.77115238167616,7.184087354084095,"(3.0, 5.0]",0.6647646219686163,0.3352353780313837,0.5164392569455861,0.483560743054414,0.14832536502303018,-0.1483253650230303,over,0.14832536502303018
Drake Powell,FanDuel,7.5,6.419319627468184,4.0,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.5191532258064516,0.4808467741935484,-0.1469207534817284,0.1469207534817284,under,0.1469207534817284
Tobias Harris,FanDuel,13.5,12.414090150562483,5.831904586934796,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.5191532258064516,0.4808467741935484,-0.1469207534817284,0.1469207534817284,under,0.1469207534817284
Kristaps Porzingis,DraftKings,17.5,15.351167341168804,7.717224601860156,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.5145711906744379,0.48542880932556204,-0.14233871834971468,0.14233871834971473,under,0.14233871834971473
Jalen Duren,FanDuel,22.5,18.81420785712805,8.184674024595527,"(-5.0, -3.0]",0.38181818181818183,0.6181818181818182,0.5240847784200385,0.47591522157996147,-0.1422665966018567,0.1422665966018567,under,0.1422665966018567
Tobias Harris,DraftKings,13.5,12.414090150562483,5.831904586934796,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.512482836100362,0.487517163899638,-0.14025036377563882,0.14025036377563876,under,0.14025036377563876
Drake Powell,DraftKings,7.5,6.419319627468184,4.0,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.512482836100362,0.487517163899638,-0.14025036377563882,0.14025036377563876,under,0.14025036377563876
Ayo Dosunmu,BetOnline.ag,16.5,14.380769697816055,5.60654379572061,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.5123152709359606,0.4876847290640395,-0.1400827986112374,0.1400827986112373,under,0.1400827986112373
Duncan Robinson,DraftKings,11.5,10.147762297931301,5.6460408940936455,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.5083149711054754,0.4916850288945246,-0.13608249878075218,0.13608249878075218,under,0.13608249878075218
VJ Edgecombe,DraftKings,21.5,19.126445035529805,9.008637830191397,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.5073240143969199,0.4926759856030803,-0.13509154207219665,0.13509154207219648,under,0.13509154207219648
Nick Richards,DraftKings,10.5,8.338992268052886,4.0,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.5062344139650873,0.4937655860349127,-0.13400194164036405,0.13400194164036405,under,0.13400194164036405
Jared McCain,FanDuel,6.5,10.476321859877558,7.290785661062567,"(3.0, 5.0]",0.6647646219686163,0.3352353780313837,0.532258064516129,0.4677419354838709,0.1325065574524873,-0.13250655745248718,over,0.1325065574524873
