player_name,bookmaker,line,predicted_points,P_over_model,P_over_market,edge_over,edge_under,best_side,best_edge
Reed Sheppard,BetOnline.ag,14.5,12.002943872106293,0.3595932727060057,0.4969046636401156,-0.13731139093410988,0.13731139093410982,under,0.13731139093410982
Neemias Queta,BetOnline.ag,7.5,11.061956760460902,0.6557918989179431,0.519675254742772,0.1361166441751711,-0.1361166441751711,over,0.1361166441751711
G.G. Jackson,FanDuel,16.5,17.585965702830666,0.6069934532734378,0.4718423169750604,0.13515113629837738,-0.1351511362983775,over,0.13515113629837738
Drake Powell,DraftKings,7.5,6.258879861259912,0.37817400623340414,0.512482836100362,-0.1343088298669579,0.13430882986695786,under,0.13430882986695786
Ayo Dosunmu,BetOnline.ag,16.5,14.775244482247867,0.3791809642249877,0.5123152709359606,-0.13313430671097293,0.13313430671097282,under,0.13313430671097282
Chet Holmgren,BetOnline.ag,14.5,16.45297921912022,0.6278833864744435,0.4948402542722694,0.13304313220217412,-0.133043132202174,over,0.13304313220217412
G.G. Jackson,BetOnline.ag,16.5,17.585965702830666,0.6069934532734378,0.47438944435338465,0.13260400892005314,-0.13260400892005308,over,0.13260400892005314
Nickeil Alexander-Walker,FanDuel,18.5,21.10178440651823,0.6364801223589898,0.5060689431946916,0.13041117916429812,-0.13041117916429806,over,0.13041117916429812
Neemias Queta,FanDuel,7.5,11.061956760460902,0.6557918989179431,0.5281576830249397,0.1276342158930034,-0.1276342158930035,over,0.1276342158930034
Cameron Johnson,FanDuel,10.5,12.50067150011959,0.6159829309695388,0.48987854251012153,0.1261043884594173,-0.1261043884594174,over,0.1261043884594173
Isaiah Hartenstein,BetOnline.ag,6.5,7.448525278994485,0.5767445304133855,0.45374290433428893,0.12300162607909654,-0.1230016260790966,over,0.12300162607909654
Andrew Nembhard,BetOnline.ag,14.5,16.990156118731562,0.6258957764365869,0.5030953363598845,0.12280044007670243,-0.12280044007670249,over,0.12280044007670243
Chet Holmgren,FanDuel,14.5,16.45297921912022,0.6278833864744435,0.5060689431946916,0.12181444327975188,-0.12181444327975183,over,0.12181444327975188
Andrew Nembhard,DraftKings,14.5,16.990156118731562,0.6258957764365869,0.5041554124246831,0.1217403640119038,-0.12174036401190369,over,0.1217403640119038
Jamir Watkins,FanDuel,9.5,7.880737397643703,0.34280651189307787,0.46209273182957394,-0.11928621993649607,0.11928621993649602,under,0.11928621993649602
Nickeil Alexander-Walker,DraftKings,18.5,21.10178440651823,0.6364801223589898,0.517591059602649,0.11888906275634081,-0.1188890627563407,over,0.11888906275634081
Onyeka Okongwu,DraftKings,12.5,14.538974019832231,0.6165246458936492,0.4979225527671597,0.1186020931264895,-0.1186020931264894,over,0.1186020931264895
Shai Gilgeous-Alexander,FanDuel,29.5,31.096664586026655,0.5845691350387618,0.4677419354838709,0.11682719955489096,-0.11682719955489085,over,0.11682719955489096
Dyson Daniels,FanDuel,11.5,12.853375370641793,0.5819755718694544,0.4677419354838709,0.11423363638558348,-0.11423363638558337,over,0.11423363638558348
Andrew Nembhard,FanDuel,15.5,16.990156118731562,0.576165694852818,0.46209273182957394,0.11407296302324405,-0.1140729630232441,over,0.11407296302324405
Derrick White,FanDuel,16.5,18.065803946931638,0.5754881895997972,0.46209273182957394,0.11339545777022325,-0.1133954577702233,over,0.11339545777022325
Olivier-Maxence Prosper,FanDuel,11.5,10.683542964459328,0.4191321059601716,0.5281576830249397,-0.10902557706476812,0.10902557706476801,under,0.10902557706476801
Terance Mann,FanDuel,5.5,6.34321068920819,0.5702207827909578,0.46209273182957394,0.10812805096138384,-0.10812805096138389,over,0.10812805096138384
Reed Sheppard,DraftKings,13.5,12.002943872106293,0.4146660906428108,0.5217643644805572,-0.1070982738377464,0.10709827383774634,under,0.10709827383774634
Josh Giddey,DraftKings,18.5,16.64960519621183,0.36968088411161026,0.47614107883817425,-0.10646019472656398,0.10646019472656398,under,0.10646019472656398
Jrue Holiday,DraftKings,15.5,17.74845506786949,0.5921196359417883,0.48656469615543607,0.10555493978635222,-0.10555493978635211,over,0.10555493978635222
